"prediction"	"d.CMS1"	"d.CMS2"	"d.CMS3"	"d.CMS4"	"p.value"	"FDR"
"C10"	"CMS4"	0.664990279510013	0.767221317481271	0.719753371057899	0.589026764441636	0.001	0.0017906976744186
"C125PM"	NA	0.733840845833866	0.696490864577406	0.695412091020715	0.765598200376298	0.42957042957043	0.479375696767001
"C106"	"CMS2"	0.735769299717271	0.627203835442401	0.693740965216506	0.721088286160985	0.001	0.0017906976744186
"C135"	"CMS1"	0.54131816473972	0.772936931137789	0.680322415062144	0.701472962741568	0.001	0.0017906976744186
"C70"	"CMS2"	0.729488240957245	0.661345319820015	0.727375103130608	0.748452861201552	0.001998001998002	0.00334448160535117
"C32"	"CMS2"	0.729738521233012	0.63277302751066	0.710746192880463	0.739478821208556	0.001	0.0017906976744186
"C84"	"CMS2"	0.683335037418484	0.648516314205883	0.705653057601394	0.707019439954921	0.001	0.0017906976744186
"C80"	"CMS3"	0.78504686725458	0.670618634001111	0.668060670424772	0.793489984750612	0.03996003996004	0.0496277915632754
"C99"	"CMS2"	0.751110250187534	0.634927238268066	0.680988240096443	0.764751818806104	0.001	0.0017906976744186
"CACO2"	"CMS4"	0.708582345089546	0.694160303316883	0.720309758270123	0.55210167635034	0.001	0.0017906976744186
"COLO201"	"CMS1"	0.657904631743274	0.729817831660826	0.73649122269881	0.714463688052817	0.00799200799200799	0.0111888111888112
"COCM1"	"CMS2"	0.739209266562021	0.633278020446674	0.691151158782256	0.736634572109445	0.001	0.0017906976744186
"CCK81"	"CMS2"	0.802390565388871	0.652610886572757	0.728397763375779	0.806656651765458	0.017982017982018	0.0234680573663625
"CO115"	NA	0.646623927957769	0.792753584032994	0.788597377666401	0.720277278418877	0.0559440559440559	0.0673076923076923
"COLO201.1"	"CMS1"	0.657904631743274	0.729817831660826	0.73649122269881	0.714463688052817	0.00599400599400599	0.00870827285921625
"COLO205"	NA	0.692853354226209	0.704658658619663	0.69360102970137	0.774102819990293	0.468531468531469	0.515384615384615
"COLO320DM"	"CMS4"	0.751965410263613	0.740506380788471	0.761637318836724	0.616082237930614	0.001	0.0017906976744186
"COLO320HSR"	"CMS4"	0.746967336256201	0.745089932684291	0.765376110107602	0.622131098155165	0.001	0.0017906976744186
"COLO678"	"CMS4"	0.694491165951171	0.747246668835095	0.743519621589296	0.642223384143727	0.001	0.0017906976744186
"DIFI"	"CMS2"	0.795728084922148	0.601173469398919	0.695276173652266	0.731721692063109	0.001	0.0017906976744186
"DLD1"	NA	0.676498877360106	0.751628004502896	0.722151165327212	0.684146086907695	0.0649350649350649	0.0769230769230769
"FET"	NA	0.738100535560688	0.688582004602641	0.704740341168043	0.733800954834612	0.718281718281718	0.757639620653319
"GEO"	"CMS2"	0.762281714067067	0.670622264182124	0.686748490581734	0.82438293317549	0.015984015984016	0.0212201591511936
"GP2D"	NA	0.756564304925135	0.706194976088435	0.706215918772151	0.777246036860802	0.941058941058941	0.966153846153846
"Gp5D"	NA	0.752165305855203	0.69298693265737	0.709282586124498	0.772149461035431	0.577422577422577	0.617521367521368
"HCA46"	"CMS2"	0.781623984943502	0.561227691330994	0.720621918291393	0.726795510754638	0.001	0.0017906976744186
"HCA7"	"CMS4"	0.635691928957739	0.766073222873386	0.726179964809572	0.592562557947904	0.001	0.0017906976744186
"HCC2998"	NA	0.702358326595393	0.748432547708999	0.750028950668239	0.774755178738184	0.984015984015984	0.984015984015984
"HCT116"	"CMS4"	0.674068394345779	0.752069793336524	0.761731834908273	0.557475942381153	0.001	0.0017906976744186
"HCT15"	NA	0.693440787557618	0.772790404250981	0.780367187183184	0.71182020316728	0.92007992007992	0.957380457380457
"HCT8"	"CMS4"	0.683041826419636	0.752757205911467	0.754579677228589	0.652463684126174	0.002997002997003	0.00452488687782805
"HDC114"	"CMS1"	0.657785105173567	0.731514812182047	0.706972507993092	0.691949758425486	0.001998001998002	0.00334448160535117
"HDC54"	"CMS2"	0.796194497362021	0.652108904178478	0.674277040267521	0.811164943222764	0.002997002997003	0.00452488687782805
"HDC57"	"CMS2"	0.783934050101847	0.642280230137897	0.672104821868828	0.800571265106061	0.002997002997003	0.00452488687782805
"HDC82"	"CMS2"	0.804786937918805	0.666259910399127	0.742676182027914	0.766806873520516	0.01998001998002	0.0256410256410256
"HDC8"	"CMS4"	0.656775767770643	0.770959862724812	0.749408492013009	0.637374713022584	0.001	0.0017906976744186
"HDC9"	"CMS3"	0.70608917633417	0.744575808229535	0.621400206666543	0.731518695788709	0.001	0.0017906976744186
"HDC90"	"CMS4"	0.631361031176828	0.706029035127278	0.682598953609644	0.601007228162502	0.001	0.0017906976744186
"HRA19"	"CMS2"	0.72602437938533	0.654321383003804	0.717018088362175	0.74562583077431	0.002997002997003	0.00452488687782805
"HT115"	"CMS1"	0.661675155295656	0.700964011435775	0.667018894557921	0.756929237515688	0.003996003996004	0.00591715976331361
"HT29"	NA	0.668123496845328	0.772194457343376	0.668868920488026	0.757901753171238	0.0699300699300699	0.0815850815850816
"HT55"	"CMS2"	0.766460675848497	0.540832835580431	0.666277621724565	0.698698591204936	0.001	0.0017906976744186
"IS1"	"CMS4"	0.648213756160121	0.73834439565844	0.747424271845209	0.623652997613585	0.001	0.0017906976744186
"IS2"	"CMS2"	0.726061165213047	0.630887296631497	0.644550959805632	0.782787379935308	0.001	0.0017906976744186
"IS3"	"CMS2"	0.713750854105114	0.627951245309121	0.650581535943721	0.755392005845217	0.001	0.0017906976744186
"HUTU80"	"CMS4"	0.716585296362922	0.741268682499302	0.755696895706488	0.560862106005032	0.001	0.0017906976744186
"KM12"	NA	0.669530556099738	0.786674577604693	0.707455471489941	0.765114605825661	0.214785214785215	0.246842709529277
"LIM1215"	NA	0.701223315465043	0.711065482798563	0.73883612385286	0.728187015237113	0.497502497502497	0.539544962080173
"LIM1863"	"CMS2"	0.741643124569868	0.620438729132516	0.674672461453717	0.802973943447583	0.001	0.0017906976744186
"LIM1899"	"CMS3"	0.726926451859747	0.651830888161682	0.644628356931524	0.750564310638405	0.001	0.0017906976744186
"LIM2099"	"CMS4"	0.628088181951565	0.74742724983497	0.723444550263879	0.511921125056758	0.001	0.0017906976744186
"LIM2405"	"CMS1"	0.653100264680661	0.782503860255954	0.769215923277644	0.662881618479021	0.010989010989011	0.0148448043184885
"LIM2537"	"CMS1"	0.637712631857422	0.768596463360598	0.749483356214878	0.692178808999809	0.001	0.0017906976744186
"LIM2550"	"CMS1"	0.646431346075051	0.753528694587587	0.766854619569314	0.684422746724785	0.002997002997003	0.00452488687782805
"LIM2551"	"CMS1"	0.647681994677756	0.752466728171399	0.686068631542251	0.77087171406581	0.001998001998002	0.00334448160535117
"LS1034"	"CMS2"	0.74707011130108	0.613872184726292	0.712067839598779	0.70100138264959	0.001	0.0017906976744186
"LS174T"	"CMS3"	0.709870913509886	0.70699371425981	0.62281384972574	0.811050314565491	0.001	0.0017906976744186
"LS180"	"CMS3"	0.660690822066556	0.718109679843836	0.643244512156395	0.750820846791038	0.001	0.0017906976744186
"LS411"	"CMS3"	0.673667750293203	0.728861755201462	0.664271779195834	0.792000733597796	0.00899100899100899	0.0123626373626374
"LS513"	"CMS3"	0.705403281719044	0.708831590847116	0.626024900034073	0.799781482671693	0.001	0.0017906976744186
"NCIH716"	"CMS4"	0.709287160308531	0.71533948703496	0.67518383002952	0.626410016313974	0.001	0.0017906976744186
"NCIH747"	"CMS4"	0.637402429995891	0.74944436457204	0.729482285300594	0.603657049614348	0.001	0.0017906976744186
"RKO"	NA	0.702628897843979	0.780177390710985	0.790053784141735	0.67872567369473	0.975024975024975	0.984015984015984
"RW7213"	"CMS3"	0.79449050976448	0.623029904216218	0.594249957317866	0.801499551322785	0.001	0.0017906976744186
"SKCO1"	"CMS3"	0.694137587553891	0.739365940685739	0.609543282602482	0.696086663912086	0.001	0.0017906976744186
"SNU175"	NA	0.720526463254237	0.793675488032725	0.65155083644481	0.769752575728059	0.041958041958042	0.0512820512820513
"SNU283"	"CMS2"	0.765819258461902	0.636632004987034	0.661674362815337	0.821287570343289	0.001	0.0017906976744186
"SNUC1"	"CMS2"	0.801219036557288	0.58913972043974	0.694440146590607	0.7776428772978	0.001	0.0017906976744186
"SNUC2B"	"CMS3"	0.665169181524457	0.785127816479496	0.658154266337452	0.698449308476733	0.00699300699300699	0.00997150997150997
"SNUC4"	"CMS3"	0.744843203188192	0.691652978643876	0.647517626559836	0.789067536258531	0.001	0.0017906976744186
"SW1116"	"CMS2"	0.675164102436208	0.631312072006158	0.684955912276334	0.663065101744093	0.001	0.0017906976744186
"SW1222"	"CMS3"	0.804911068326028	0.640843935247588	0.632002393344427	0.788247117152752	0.001	0.0017906976744186
"SW1417"	"CMS4"	0.67268018474225	0.692329252014253	0.728916317250437	0.626741782541777	0.001	0.0017906976744186
"SW1463"	"CMS2"	0.752281777778841	0.664707986761592	0.705192980904335	0.792384413308325	0.024975024975025	0.0315258511979823
"SW403"	"CMS2"	0.779840217461499	0.585604292324247	0.681384873243308	0.776190656712465	0.001	0.0017906976744186
"SW48"	NA	0.668660978639467	0.775096212876186	0.74763320066423	0.694776041247965	0.221778221778222	0.251131221719457
"SW480"	"CMS4"	0.669404404559537	0.725137483900216	0.756167158254156	0.557211256502848	0.001	0.0017906976744186
